al·lèrgia;allergy;I have an allergy to peanuts.;Tinc al·lèrgia als cacauets.;Tengo alergia a los cacahuetes.
antibiòtic;antibiotic;The doctor prescribed an antibiotic for the infection.;El metge va receptar un antibiòtic per a la infecció.;El médico recetó un antibiótico para la infección.
cita mèdica;appointment;I have a doctor's appointment at 3 PM.;Tinc una cita mèdica a les 15 h.;Tengo una cita médica a las 3 de la tarde.
pressió/blood pressure;blood pressure;My blood pressure is too high.;Tinc la pressió arterial massa alta.;Tengo la presión arterial demasiado alta.
analítica;blood test;I need to get a blood test tomorrow morning.;He de fer-me una analítica demà al matí.;Tengo que hacerme un análisis de sangre mañana por la mañana.
respiració;breathing;Deep breathing can help reduce stress.;La respiració profunda pot ajudar a reduir l’estrès.;La respiración profunda puede ayudar a reducir el estrés.
calmar;calm;The nurse calmed the anxious patient.;La infermera va calmar el pacient ansiós.;La enfermera calmó al paciente ansioso.
cuidar;care;Nurses care for their patients.;Les infermeres cuiden dels seus pacients.;Las enfermeras cuidan de sus pacientes.
controlar;check;The doctor checked her blood pressure.;El metge va revisar la seva pressió arterial.;El médico revisó su presión arterial.
consulta mèdica;check-up;I go to the clinic for a yearly check-up.;Vaig a la clínica per una revisió anual.;Voy a la clínica para una revisión anual.
clínica;clinic;I went to the clinic for a check-up.;Vaig anar a la clínica per fer-me una revisió.;Fui a la clínica para un chequeo.
refredat;cold;He caught a cold after getting wet.;Es va refredar després de mullar-se.;Se resfrió después de mojarse.
consolar;comfort;He comforted his friend after the surgery.;Va consolar el seu amic després de la cirurgia.;Consoló a su amigo después de la cirugía.
consultar;consult;He consulted a specialist for his condition.;Va consultar un especialista per la seva afecció.;Consultó a un especialista por su afección.
contagiar;contaminate;The wound was contaminated by bacteria.;La ferida va ser contaminada per bacteris.;La herida fue contaminada por bacterias.
curar;cure;The doctor cured the patient.;El metge va curar el pacient.;El médico curó al paciente.
diagnòstic;diagnosis;The diagnosis was confirmed by a blood test.;El diagnòstic es va confirmar amb una anàlisi de sang.;El diagnóstico se confirmó con un análisis de sangre.
dietista;dietitian;A dietitian helped me plan my meals.;Una dietista em va ajudar a planificar els àpats.;Una dietista me ayudó a planificar las comidas.
incapacitat;disability;She works to support people with disabilities.;Treballa per donar suport a persones amb discapacitat.;Trabaja para apoyar a personas con discapacidad.
mareig;dizziness;She stood up quickly and felt dizziness.;Es va aixecar de pressa i va sentir mareig.;Se levantó deprisa y sintió mareo.
metge;doctor;I need to see a doctor.;Necessito veure un metge.;Necesito ver a un médico.
urgències;emergency;He was taken to the emergency room.;El van portar a urgències.;Lo llevaron a urgencias.
